sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Reservoir,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.232999999
Ag,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.232999999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
cap,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
cap,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
cap,W_SW_Reservoir,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.6
cap,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.263776793
cap,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,4.863776793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
capNew,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,97.78705
capNew,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,97.78705
capOrig,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,60
capOrig,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,60
capOrig,W_SW_Reservoir,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.6
capOrig,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.263776793
capOrig,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,4.863776793
commercial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,3.19665
commercial,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,3.19665
downstream,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.262116793
downstream,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.262116793
export,Ag_cereals,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,28.5
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,31.1
export,Ag_pasture,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,13.2
export,Ag_specialty,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,5.2
export,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
export,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,134.218
export,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,134.218
industrial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,6.567185
industrial,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,6.567185
municipal,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.00166
municipal,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.00166
other,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,4.568789
other,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,4.568789
residential,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,9.236426
residential,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,9.236426
surplus,W_SW_Reservoir,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.367000001
surplus,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.367000001
total,Ag_cereals,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,28.5
total,Ag_fruittrees,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,31.1
total,Ag_pasture,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,13.2
total,Ag_specialty,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,5.2
total,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
total,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
total,Electricity_Hydro,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
total,W_SW_Reservoir,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.232999999
total,W_SW_Upstream,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.263776793
total,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.496776792
