sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.232999999
cap,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
cap,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
cap,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,4.863776793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
capNew,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,97.78705
capOrig,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,60
capOrig,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,4.863776793
commercial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,3.19665
downstream,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.262116793
export,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
export,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,134.218
industrial,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,6.567185
municipal,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,0.00166
other,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,4.568789
residential,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,9.236426
surplus,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.367000001
total,Agriculture_all,Agriculture,Reference,0,Argentina,LaPampa_media,km2,param,78
total,Electricity_all,Electricity,Reference,0,Argentina,LaPampa_media,GWh,param,157.78705
total,Water_all,Water,Reference,0,Argentina,LaPampa_media,km3,param,2.496776792
