sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,export,0.02,export
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,total,0.02,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,export,0.02,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,total,0.02,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,cap,0.02,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Mendoza_alta_barrancas,param,capNew,0.02,capNew
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,Ag_fruittrees,0.001,Ag
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,downstream,0.275125,downstream
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,total,0.276125,total
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,cap,0.276125,cap
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,capOrig,0.276125,capOrig
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,Ag_fruittrees,0.001,Ag
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,downstream,0.275125,downstream
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,total,0.276125,total
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,cap,0.276125,cap
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_barrancas,param,capOrig,0.276125,capOrig
