sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,commercial,6.808592,commercial
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,industrial,23.004598004,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,other,11.736356004,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,residential,23.828639002,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,total,65.37818501,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,cap,65.37818501,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,capNew,65.08218501,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,capOrig,0.296000000000007,capOrig
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,commercial,6.592415931,commercial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,industrial,22.27419096,industrial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,other,11.36372106,other
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,residential,23.07206826,residential
Electricity_Import,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,total,63.302396211,total
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,commercial,0.216176069,commercial
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,industrial,0.730407044,industrial
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,other,0.372634944,other
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,residential,0.756570742,residential
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,total,2.075788799,total
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,cap,2.075788799,cap
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,capNew,1.779788799,capNew
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Mendoza_alta_riogrande,param,capOrig,0.296,capOrig
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,Electricity_RefLiqDiesel,3.14e-07,Electricity
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,downstream,3.502899686,downstream
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,total,3.5029,total
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,cap,3.5029,cap
W_SW_Runoff,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,capOrig,3.5029,capOrig
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,Electricity_RefLiqDiesel,3.14e-07,Electricity
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,downstream,3.502899686,downstream
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,total,3.5029,total
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,cap,3.5029,cap
Water_all,Water,Reference,0,km3,Argentina,Mendoza_alta_riogrande,param,capOrig,3.5029,capOrig
