sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.0087
Ag,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.0087
cap,Agriculture_all,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
cap,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
cap,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
cap,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
capNew,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
capOrig,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
capOrig,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
downstream,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.819415
downstream,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.819415
export,Ag_forest,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.15
export,Ag_pasture,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.53
export,Agriculture_all,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
municipal,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.00026
municipal,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.00026
other,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,5.477967
other,Electricity_Import,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,5.477967
residential,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,7.46025
residential,Electricity_Import,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,7.46025
total,Ag_forest,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.15
total,Ag_pasture,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.53
total,Agriculture_all,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68
total,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
total,Electricity_Import,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,12.938217
total,W_SW_Runoff,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
total,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.828375
