sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,export,0.2,export
Ag_cereals,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,total,0.2,total
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,export,0.06,export
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,total,0.06,total
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,export,6.22,export
Ag_pasture,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,total,6.22,total
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,export,0.02,export
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,total,0.02,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,export,6.5,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,total,6.5,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,cap,6.5,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Neuquen_media,param,capNew,6.5,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,industrial,533.7402,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,other,105.082112,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,residential,57.470153,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,export,4.216127,export
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,total,700.508592,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,cap,700.508592,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,capNew,600.618592,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,capOrig,99.89,capOrig
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,industrial,362.943336,industrial
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,other,71.45583616,other
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,residential,39.07970404,residential
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,export,2.86696636,export
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,total,476.34584256,total
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,cap,476.34584256,cap
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,capNew,408.84584256,capNew
Electricity_Gas,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,capOrig,67.5,capOrig
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,industrial,170.796864,industrial
Electricity_RefLiqDiesel,Electricity,Reference,0,GWh,Argentina,Neuquen_media,param,other,33.62627584,other
