sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,W_SW_Upstream,Water,Reference,0,Argentina,Neuquen_media,km3,param,0.0656,0.0285376228859569,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
downstream,W_SW_Upstream,Water,Reference,0,Argentina,Neuquen_media,km3,param,2.230033743,0.97011984726666,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
Electricity,W_SW_Upstream,Water,Reference,0,Argentina,Neuquen_media,km3,param,0.0001061,4.61561248201223e-05,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
export,Ag_cereals,Agriculture,Reference,0,Argentina,Neuquen_media,km2,param,0.2,0.0307692307692308,Ag_cereals 0.2 km2,Ag_cereals km2
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,Neuquen_media,km2,param,0.06,0.00923076923076923,Ag_fruittrees 0.06 km2,Ag_fruittrees km2
export,Ag_pasture,Agriculture,Reference,0,Argentina,Neuquen_media,km2,param,6.22,0.956923076923077,Ag_pasture 6.2 km2,Ag_pasture km2
export,Ag_vegetables,Agriculture,Reference,0,Argentina,Neuquen_media,km2,param,0.02,0.00307692307692308,Ag_vegetables 0.02 km2,Ag_vegetables km2
export,Electricity_Gas,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,2.86696636,0.0040926926418056,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
export,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,1.34916064,0.00192597300790852,Electricity_RefLiqDiesel 224.2 GWh,Electricity_RefLiqDiesel GWh
industrial,Electricity_Gas,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,362.943336,0.518114039063778,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
industrial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,170.796864,0.243818371324131,Electricity_RefLiqDiesel 224.2 GWh,Electricity_RefLiqDiesel GWh
municipal,W_SW_Upstream,Water,Reference,0,Argentina,Neuquen_media,km3,param,0.00298,0.00129637372256328,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
other,Electricity_Gas,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,71.45583616,0.10200565271582,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
other,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,33.62627584,0.0480026601015623,Electricity_RefLiqDiesel 224.2 GWh,Electricity_RefLiqDiesel GWh
residential,Electricity_Gas,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,39.07970404,0.0557876155785967,Electricity_Gas 476.3 GWh,Electricity_Gas GWh
residential,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Neuquen_media,GWh,param,18.39044896,0.0262529955663984,Electricity_RefLiqDiesel 224.2 GWh,Electricity_RefLiqDiesel GWh
