sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,export,19.85,export
Ag_cereals,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,total,19.85,total
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,export,18.9,export
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,total,18.9,total
Ag_pasture,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,export,10.95,export
Ag_pasture,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,total,10.95,total
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,export,6.1,export
Ag_vegetables,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,total,6.1,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,export,55.8,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,total,55.8,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,cap,55.8,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_baja,param,capNew,55.8,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,commercial,20.835906,commercial
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,industrial,24.013419,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,other,24.52153,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,residential,36.956574,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,total,106.327429,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,cap,106.327429,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,capNew,106.327429,capNew
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,commercial,20.835906,commercial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,industrial,24.013419,industrial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,other,24.52153,other
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,residential,36.956574,residential
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_baja,param,total,106.327429,total
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_cereals,0.155469829,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_pasture,0.046722983,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_vegetables,0.016485174,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_fruittrees,0.051077014,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,municipal,0.0021,municipal
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,downstream,1.900456793,downstream
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,total,2.172311793,total
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,cap,2.172311793,cap
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_baja,param,capOrig,2.172311793,capOrig
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_cereals,0.155469829,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_pasture,0.046722983,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_vegetables,0.016485174,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,Ag_fruittrees,0.051077014,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,municipal,0.0021,municipal
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,downstream,1.900456793,downstream
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,total,2.172311793,total
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,cap,2.172311793,cap
Water_all,Water,Reference,0,km3,Argentina,RioNegro_baja,param,capOrig,2.172311793,capOrig
