sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,0.269755
Ag,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,0.269755
cap,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,55.8
cap,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,106.327429
cap,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
cap,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,55.8
capNew,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,106.327429
capOrig,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
capOrig,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
commercial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,20.835906
commercial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,20.835906
downstream,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,1.900456793
downstream,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,1.900456793
export,Ag_cereals,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,19.85
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,18.9
export,Ag_pasture,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,10.95
export,Ag_vegetables,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,6.1
export,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,55.8
industrial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,24.013419
industrial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,24.013419
municipal,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,0.0021
municipal,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,0.0021
other,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,24.52153
other,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,24.52153
residential,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,36.956574
residential,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,36.956574
total,Ag_cereals,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,19.85
total,Ag_fruittrees,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,18.9
total,Ag_pasture,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,10.95
total,Ag_vegetables,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,6.1
total,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_baja,km2,param,55.8
total,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,106.327429
total,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_baja,GWh,param,106.327429
total,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
total,Water_all,Water,Reference,0,Argentina,RioNegro_baja,km3,param,2.172311793
