sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,sectorToAgg
Ag_cereals,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,0.6,export
Ag_cereals,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,0.6,total
Ag_forest,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,0.63,export
Ag_forest,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,0.63,total
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,1.5,export
Ag_fruittrees,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,1.5,total
Ag_pasture,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,22.25,export
Ag_pasture,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,22.25,total
Ag_specialty,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,0.62,export
Ag_specialty,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,0.62,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,export,25.6,export
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,total,25.6,total
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,cap,25.6,cap
Agriculture_all,Agriculture,Reference,0,km2,Argentina,RioNegro_media,param,capNew,25.6,capNew
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,commercial,137.85332975,commercial
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,industrial,500.39769527,industrial
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,other,133.63556583,other
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,residential,270.82852635,residential
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,total,1042.7151172,total
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,cap,1042.7151172,cap
Electricity_all,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,capNew,1042.7151172,capNew
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,commercial,20.86054075,commercial
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,industrial,75.72226607,industrial
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,other,20.22229113,other
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,residential,40.98290205,residential
Electricity_Hydro,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,total,157.788,total
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,commercial,116.992789,commercial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,industrial,424.6754292,industrial
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,other,113.4132747,other
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,residential,229.8456243,residential
Electricity_Import,Electricity,Reference,0,GWh,Argentina,RioNegro_media,param,total,884.9271172,total
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_cereals,0.007960976,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_pasture,0.160833276,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_fruittrees,0.006867275,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_specialty,0.002838473,Ag
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,municipal,0.00277,municipal
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,downstream,2.082506793,downstream
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,total,2.263776793,total
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,cap,2.263776793,cap
W_SW_Upstream,Water,Reference,0,km3,Argentina,RioNegro_media,param,capOrig,2.263776793,capOrig
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_cereals,0.007960976,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_pasture,0.160833276,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_fruittrees,0.006867275,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,Ag_specialty,0.002838473,Ag
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,municipal,0.00277,municipal
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,downstream,2.082506793,downstream
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,total,2.263776793,total
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,cap,2.263776793,cap
Water_all,Water,Reference,0,km3,Argentina,RioNegro_media,param,capOrig,2.263776793,capOrig
