sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.1785
Ag,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.1785
cap,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
cap,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
cap,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
cap,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
capNew,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
capOrig,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
capOrig,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
commercial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,137.85332975
commercial,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,20.86054075
commercial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,116.992789
downstream,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.082506793
downstream,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.082506793
export,Ag_cereals,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.6
export,Ag_forest,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.63
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,1.5
export,Ag_pasture,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,22.25
export,Ag_specialty,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.62
export,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
industrial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,500.39769527
industrial,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,75.72226607
industrial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,424.6754292
municipal,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.00277
municipal,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.00277
other,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,133.63556583
other,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,20.22229113
other,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,113.4132747
residential,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,270.82852635
residential,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,40.98290205
residential,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,229.8456243
total,Ag_cereals,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.6
total,Ag_forest,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.63
total,Ag_fruittrees,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,1.5
total,Ag_pasture,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,22.25
total,Ag_specialty,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.62
total,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
total,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
total,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,157.788
total,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,884.9271172
total,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
total,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
