sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
Ag,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.1785
cap,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
cap,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
cap,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
capNew,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
capNew,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
capOrig,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
commercial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,137.85332975
downstream,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.082506793
export,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
industrial,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,500.39769527
municipal,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.00277
other,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,133.63556583
residential,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,270.82852635
total,Agriculture_all,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,25.6
total,Electricity_all,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,1042.7151172
total,Water_all,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.263776793
