sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.1785,0.0788505300310321,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
commercial,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,20.86054075,0.0200059828479487,Electricity_Hydro 157.8 GWh,Electricity_Hydro GWh
commercial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,116.992789,0.11220014658861,Electricity_Import 884.9 GWh,Electricity_Import GWh
downstream,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,2.082506793,0.919925851099579,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
export,Ag_cereals,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.6,0.0234375,Ag_cereals 0.6 km2,Ag_cereals km2
export,Ag_forest,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.63,0.024609375,Ag_forest 0.63 km2,Ag_forest km2
export,Ag_fruittrees,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,1.5,0.05859375,Ag_fruittrees 1.5 km2,Ag_fruittrees km2
export,Ag_pasture,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,22.25,0.869140625,Ag_pasture 22.2 km2,Ag_pasture km2
export,Ag_specialty,Agriculture,Reference,0,Argentina,RioNegro_media,km2,param,0.62,0.02421875,Ag_specialty 0.62 km2,Ag_specialty km2
industrial,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,75.72226607,0.0726202822045362,Electricity_Hydro 157.8 GWh,Electricity_Hydro GWh
industrial,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,424.6754292,0.407278481144859,Electricity_Import 884.9 GWh,Electricity_Import GWh
municipal,W_SW_Upstream,Water,Reference,0,Argentina,RioNegro_media,km3,param,0.00277,0.00122361886938913,W_SW_Upstream 2.3 km3,W_SW_Upstream km3
other,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,20.22229113,0.0193938793026257,Electricity_Hydro 157.8 GWh,Electricity_Hydro GWh
other,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,113.4132747,0.108767268095766,Electricity_Import 884.9 GWh,Electricity_Import GWh
residential,Electricity_Hydro,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,40.98290205,0.0393040259740851,Electricity_Hydro 157.8 GWh,Electricity_Hydro GWh
residential,Electricity_Import,Electricity,Reference,0,Argentina,RioNegro_media,GWh,param,229.8456243,0.220429933841569,Electricity_Import 884.9 GWh,Electricity_Import GWh
