"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,490,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","LaPampa_baja","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","LaPampa_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,28.5,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","Mendoza_alta_barrancas","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","Mendoza_alta_riogrande","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","Mendoza_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","Neuquen_alta_barrancas","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","Neuquen_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0.2,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","RioNegro_baja","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,19.85,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
"Reference","Argentina","RioNegro_media","localData","Ag_cereals_supply","land (km^2)","Ag_cereals_supply",2010,0.6,"localBasin",NA,NA,"pal_green","Ag_cereals_supply"
