"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,168,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","LaPampa_baja","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,60.19901,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","LaPampa_media","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","Mendoza_alta_barrancas","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","Mendoza_alta_riogrande","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","Mendoza_media","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","Neuquen_alta_barrancas","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","Neuquen_media","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0.02,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","RioNegro_baja","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,11.1935,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
"Policy","Argentina","RioNegro_media","localData","Ag_vegetables_supply","land (km^2)","Ag_vegetables_supply",2010,0,"localBasin",NA,NA,"pal_green","Ag_vegetables_supply"
