"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,8.886225,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","LaPampa_baja","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0.118812,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","LaPampa_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,6.567185,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","Mendoza_alta_barrancas","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","Mendoza_alta_riogrande","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,23.004598004,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","Mendoza_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","Neuquen_alta_barrancas","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,0,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","Neuquen_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,533.7402,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","RioNegro_baja","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,24.013419,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
"Reference","Argentina","RioNegro_media","localData","ElecDemand_industrial","GWh","ElecDemand_industrial",2010,500.39769527,"localBasin",NA,NA,"pal_hot","ElecDemand_industrial"
