"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","available_water","km3","AvailableWater",2010,3.199054692,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","LaPampa_baja","localData","available_water","km3","AvailableWater",2010,2.172311793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","LaPampa_media","localData","available_water","km3","AvailableWater",2010,2.263776793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","Mendoza_alta_barrancas","localData","available_water","km3","AvailableWater",2010,0.276125,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","Mendoza_alta_riogrande","localData","available_water","km3","AvailableWater",2010,3.5029,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","Mendoza_media","localData","available_water","km3","AvailableWater",2010,2.298719843,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","Neuquen_alta_barrancas","localData","available_water","km3","AvailableWater",2010,0.828375,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","Neuquen_media","localData","available_water","km3","AvailableWater",2010,2.298719843,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","RioNegro_baja","localData","available_water","km3","AvailableWater",2010,2.172311793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Policy","Argentina","RioNegro_media","localData","available_water","km3","AvailableWater",2010,2.263776793,"localBasin",NA,NA,"pal_wet","AvailableWater"
