"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","available_water","km3","AvailableWater",2010,4.064798438,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","LaPampa_baja","localData","available_water","km3","AvailableWater",2010,2.172311793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","LaPampa_media","localData","available_water","km3","AvailableWater",2010,2.263776793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","Mendoza_alta_barrancas","localData","available_water","km3","AvailableWater",2010,0.276125,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","Mendoza_alta_riogrande","localData","available_water","km3","AvailableWater",2010,3.5029,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","Mendoza_media","localData","available_water","km3","AvailableWater",2010,2.298719843,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","Neuquen_alta_barrancas","localData","available_water","km3","AvailableWater",2010,0.828375,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","Neuquen_media","localData","available_water","km3","AvailableWater",2010,2.298719843,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","RioNegro_baja","localData","available_water","km3","AvailableWater",2010,2.172311793,"localBasin",NA,NA,"pal_wet","AvailableWater"
"Reference","Argentina","RioNegro_media","localData","available_water","km3","AvailableWater",2010,2.263776793,"localBasin",NA,NA,"pal_wet","AvailableWater"
