"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","irrigation_water_demand","km3","Irrigation",2010,1.8999,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","LaPampa_baja","localData","irrigation_water_demand","km3","Irrigation",2010,0.64553832,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","LaPampa_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.233,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","Mendoza_alta_barrancas","localData","irrigation_water_demand","km3","Irrigation",2010,0.001,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","Mendoza_alta_riogrande","localData","irrigation_water_demand","km3","Irrigation",2010,0,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","Mendoza_media","localData","irrigation_water_demand","km3","Irrigation",2010,0,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","Neuquen_alta_barrancas","localData","irrigation_water_demand","km3","Irrigation",2010,0.0087,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","Neuquen_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.0656,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","RioNegro_baja","localData","irrigation_water_demand","km3","Irrigation",2010,0.495000425000001,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Policy","Argentina","RioNegro_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.1785,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
