"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","irrigation_water_demand","km3","Irrigation",2010,1.899899999,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","LaPampa_baja","localData","irrigation_water_demand","km3","Irrigation",2010,0.005039999,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","LaPampa_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.232999999,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","Mendoza_alta_barrancas","localData","irrigation_water_demand","km3","Irrigation",2010,0.001,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","Mendoza_alta_riogrande","localData","irrigation_water_demand","km3","Irrigation",2010,0,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","Mendoza_media","localData","irrigation_water_demand","km3","Irrigation",2010,0,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","Neuquen_alta_barrancas","localData","irrigation_water_demand","km3","Irrigation",2010,0.0087,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","Neuquen_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.0656,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","RioNegro_baja","localData","irrigation_water_demand","km3","Irrigation",2010,0.269755,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
"Reference","Argentina","RioNegro_media","localData","irrigation_water_demand","km3","Irrigation",2010,0.1785,"localBasin",NA,NA,"pal_wet","IrrigationDemand"
