"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","livestock_water_demand","km3","Livestock",2010,0.005064497,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","LaPampa_baja","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","LaPampa_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","Mendoza_alta_barrancas","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","Mendoza_alta_riogrande","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","Mendoza_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","Neuquen_alta_barrancas","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","Neuquen_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","RioNegro_baja","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
"Reference","Argentina","RioNegro_media","localData","livestock_water_demand","km3","Livestock",2010,0,"localBasin",NA,NA,"pal_wet","LivestockWatDemand"
