"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Policy","Argentina","Corfo","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","LaPampa_baja","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","LaPampa_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","Mendoza_alta_barrancas","localData","runoff","km3","runoff",2010,0.276125,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","Mendoza_alta_riogrande","localData","runoff","km3","runoff",2010,3.5029,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","Mendoza_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","Neuquen_alta_barrancas","localData","runoff","km3","runoff",2010,0.828375,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","Neuquen_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","RioNegro_baja","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Policy","Argentina","RioNegro_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
