"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","LaPampa_baja","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","LaPampa_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","Mendoza_alta_barrancas","localData","runoff","km3","runoff",2010,0.276125,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","Mendoza_alta_riogrande","localData","runoff","km3","runoff",2010,3.5029,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","Mendoza_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","Neuquen_alta_barrancas","localData","runoff","km3","runoff",2010,0.828375,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","Neuquen_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","RioNegro_baja","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
"Reference","Argentina","RioNegro_media","localData","runoff","km3","runoff",2010,0,"localBasin",NA,NA,"pal_wet","Runoff"
