"scenario","region","subRegion","sources","param","units","class","x","value","subRegType","classPalette1","classLabel1","classPalette","classLabel"
"Reference","Argentina","Corfo","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,262979,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","LaPampa_baja","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","LaPampa_media","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","Mendoza_alta_barrancas","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","Mendoza_alta_riogrande","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","Mendoza_media","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","Neuquen_alta_barrancas","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","Neuquen_media","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","RioNegro_baja","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
"Reference","Argentina","RioNegro_media","localData","total_livestock_supply","livestock (head)","total_livestock_supply",2010,0,"localBasin",NA,NA,"pal_green","AgSupply"
