scenario,subRegion,param,class,x,units,value
Reference,Corfo,available_water,AvailableWater,2010,km3,4.064798438
Reference,LaPampa_baja,available_water,AvailableWater,2010,km3,2.172311793
Reference,LaPampa_media,available_water,AvailableWater,2010,km3,2.263776793
Reference,Mendoza_alta_barrancas,available_water,AvailableWater,2010,km3,0.276125
Reference,Mendoza_alta_riogrande,available_water,AvailableWater,2010,km3,3.5029
Reference,Mendoza_media,available_water,AvailableWater,2010,km3,2.298719843
Reference,Neuquen_alta_barrancas,available_water,AvailableWater,2010,km3,0.828375
Reference,Neuquen_media,available_water,AvailableWater,2010,km3,2.298719843
Reference,RioNegro_baja,available_water,AvailableWater,2010,km3,2.172311793
Reference,RioNegro_media,available_water,AvailableWater,2010,km3,2.263776793
