scenario,subRegion,param,class,x,units,value
Reference,Corfo,griddedScarcity,scarcity,2010,unitless,0.4692691471
Reference,LaPampa_baja,griddedScarcity,scarcity,2010,unitless,0.003668970553
Reference,LaPampa_media,griddedScarcity,scarcity,2010,unitless,0.1036586291
Reference,Mendoza_alta_barrancas,griddedScarcity,scarcity,2010,unitless,0.003621548212
Reference,Mendoza_alta_riogrande,griddedScarcity,scarcity,2010,unitless,8.964001256e-08
Reference,Mendoza_media,griddedScarcity,scarcity,2010,unitless,0.0005220296869
Reference,Neuquen_alta_barrancas,griddedScarcity,scarcity,2010,unitless,0.01081635733
Reference,Neuquen_media,griddedScarcity,scarcity,2010,unitless,0.02988015273
Reference,RioNegro_baja,griddedScarcity,scarcity,2010,unitless,0.1251454791
Reference,RioNegro_media,griddedScarcity,scarcity,2010,unitless,0.0800741489
