scenario,subRegion,param,class,x,units,value
Reference,Corfo,municipal_water_demand,Municipal,2010,km3,0.00252
Reference,LaPampa_baja,municipal_water_demand,Municipal,2010,km3,0.00083
Reference,LaPampa_media,municipal_water_demand,Municipal,2010,km3,0.00166
Reference,Mendoza_alta_barrancas,municipal_water_demand,Municipal,2010,km3,0
Reference,Mendoza_alta_riogrande,municipal_water_demand,Municipal,2010,km3,0
Reference,Mendoza_media,municipal_water_demand,Municipal,2010,km3,0.0012
Reference,Neuquen_alta_barrancas,municipal_water_demand,Municipal,2010,km3,0.00026
Reference,Neuquen_media,municipal_water_demand,Municipal,2010,km3,0.00298
Reference,RioNegro_baja,municipal_water_demand,Municipal,2010,km3,0.0021
Reference,RioNegro_media,municipal_water_demand,Municipal,2010,km3,0.00277
